ID,title,location,price,details,specifications
V4DTM7P,CASA EN VENTA EN EL HATILLO CON 5 HABITACIONES Y PISCINA, El Hatillo,"
                                       $ 1,200,000                                                                              ","['   Habitaciones5  ', '   Baños5.5  ', '  Área800 m2 ']",['  Cocina 1  ']
FF7M3CH,CASA EN VENTA EN EL HATILLO CON PRECIOSO JARDIN EN CIRCUITO CERRADO, El Hatillo,"
                                       $ 750,000                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área545 m2 ']","['  Cocina 1  ', '  Estacionamiento 4  ']"
RWUTYD6,VENTA DE CASA PARA REMODELAR SIN GRADAS EN EL HATILLO, El Hatillo,"
                                       $ 260,000                                                                              ","['   Habitaciones4  ', '   Baños3  ']",['  Cocina 1  ']
DWXVBUZ,MODERNA - PRIVADA E ILUMINADA CASA DE 3 HABITACIONES CON VISTA EN MIRAFLORES SUR EN VENTA O RENTA, Colonia Miraflores Sur,"
                                       $ 260,000                                                                              ","['   Habitaciones3  ', '   Baños3.5  ', '  Área247 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Balcón 1  ', '  Estacionamiento 2  ']"
9LTK68S,VENTA DE CASA EN BOULEVARD MORAZÁN PARA VIVIENDA U OFICINA, Boulevard Morazán,"
                                       $ 250,000                                                                              ","['   Habitaciones4  ', '  Área250 m2 ']",[]
TYYBWG4,VENTA DE CASA PARA USO DE OFICINA En Blv Morazan, Boulevard Morazán,"
                                       $ 339,983                                                                              ","['   Habitaciones3  ', '   Baños4  ', '  Área240 m2 ']",[]
8MU3NQC,SE VENDE CASA PARA OFICINA EN RESIDENCIAL LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 514,919                                                                              ","['   Habitaciones5  ', '   Baños4  ', '  Área410 m2 ']",[]
FCCKAEM,SE VENDE CASA DE ESQUINA EN LA 15 DE SEPTIEMBRE, Colonia 15 de Septiembre,"
                                       $ 360,588                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área287 m2 ']",[]
57E9OUD,SE VENDE CASA CON EXCELENTE UBICACIÓN EN LOS CASTAÑOS, Boulevard Morazán,"
                                       $ 319,378                                                                              ","['   Habitaciones4  ', '   Baños2  ', '  Área290 m2 ']",[]
V3FKTGH,SE VENDE CASA EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 472,885                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área300 m2 ']",[]
XGTUYKS,SE VENDE CASA DE EQUINA ENTRE BOULEVARD MORAZÁN Y PRÓCERES, Boulevard Morazán,"
                                       $ 1,751,425                                                                              ","['   Habitaciones1  ', '  Área1425 m2 ']",[]
V4NCHIV,SE VENDE CASA GRANDE EN CIUDAD NUEVA, Colonia Ciudad Nueva,"
                                       $ 337,922                                                                              ","['   Habitaciones2  ', '   Baños3  ', '  Área644 m2 ']",[]
9EJATX6,SE VENDE CASA CON VISTA Y PATIO EN CIRCUITO CERRADO EN LOMAS DEL GUIJARRO, Colonia Lomas del Guijarro,"
                                       $ 927,225                                                                              ","['   Habitaciones4  ', '   Baños4  ', '  Área739 m2 ']",[]
TK5Q2B3,SE VENDE CASA CON FINOS ACABADOS Y AMPLIA COCINA EN LOMAS DEL GUIJARRO, Colonia Lomas del Guijarro,"
                                       $ 514,919                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área400 m2 ']",[]
FJIYWRO,SE VENDE CASA CON CIRCUITO CERRADO EN LOMAS DEL GUIJARRO SUR, Colonia Lomas del Guijarro  Sur,"
                                       $ 489,369                                                                              ","['   Habitaciones5  ', '  Área988 m2 ']",[]
JBMO55V,"SE VENDE CASA PARA RESIDENCIAL, COMERCIO U OFICINA EN COLONIA ALAMEDA", Colonia Alameda,"
                                       $ 281,258                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área390 m2 ']",[]
Q9SSSGQ,SE VENDE CASA EN COLONIA EL HATILLO, Colonia El Hatillo,"
                                       $ 618,150                                                                              ","['   Habitaciones3  ', '   Baños4  ', '  Área709 m2 ']",[]
U443JDC,SE VENDE CASA EN EL HATILLO DE 527 m2, Colonia El Hatillo,"
                                       $ 592,394                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área527 m2 ']",[]
E4D8GUJ,SE VENDE CASA BELLA DE 1 MZ CON ESPECTACULAR VISTA EN EL HATILLO, Colonia El Hatillo,"
                                       $ 2,369,575                                                                              ","['   Habitaciones4  ', '  Área700 m2 ']",[]
T3NT55A,SE VENDE CASA EN LOMAS DEL GUIJARRO, Colonia Lomas del Guijarro,"
                                       $ 360,588                                                                              ","['   Habitaciones3  ', '   Baños4  ', '  Área400 m2 ']",[]
GJVQL8E,SE VENDE CASA DE ESQUINA PARA OFICINA EN COLONIA MIRAMONTES, Colonia Miramontes,"
                                       $ 450,000                                                                              ","['   Habitaciones7  ', '  Área1 m2 ']",[]
VTJLE3O,SE VENDE AMPLIA CASA EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 649,058                                                                              ","['   Habitaciones3  ', '   Baños4  ', '  Área616 m2 ']",[]
K3FZVSI,SE VENDE CASA CON AMBIENTES EXTRA GRANDES EN LOMAS DEL GUIJARRO, Colonia Lomas del Guijarro,"
                                       $ 376,041                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área400 m2 ']",[]
2R6HC33,SE VENDE AMPLIA CASA EN EL HATILLO, Colonia El Hatillo,"
                                       $ 669,663                                                                              ","['   Habitaciones4  ', '   Baños4  ', '  Área568 m2 ']",[]
AH39HT7,SE VENDE CASA EXCELENTE VISTA EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 294,652                                                                              ","['   Habitaciones4  ', '   Baños3  ', '  Área385 m2 ']",[]
4LS4J76,SE VENDE CASA LINDA EN EL HATILLO, Colonia El Hatillo,"
                                       $ 360,588                                                                              ","['   Habitaciones4  ', '  Área1 m2 ']",[]
OGUARYE,VENTA DE CASA EN COLONIA LAS HADAS, Colonia Las Hadas,"
                                       $ 338,952                                                                              ","['   Habitaciones3  ', '   Baños3  ', '  Área296 m2 ']",[]
CZKGM3R,SE VENDE APARTAMENTO EN LOMAS DEL MAYAB, Colonia Lomas del Mayab,"
                                       $ 291,458                                                                              ","['   Habitaciones2  ', '   Baños2  ', '  Área144 m2 ']",[]
CK4S2NN,SE VENDE CASA CON PISCINA Y 5 HABITACIONES EN EL TRAPICHE, Residencial El Trapiche,"
                                       $ 927,225                                                                              ","['   Habitaciones5  ', '  Área1 m2 ']",[]
