location,usd_price,bedrooms,bathrooms,surface_m²,parking
Tegucigalpa,104032.0,3,2.0,121.0,2.0
Colonia Villa Centroamericana,88602.0,3,2.0,121.0,0.0
Tegucigalpa,109825.0,3,2.0,142.0,2.0
Colonia Centroamérica 1 y 2,86541.0,3,3.0,240.0,0.0
Anillo Periférico,88602.0,3,2.0,112.0,0.0
Barrio Centro De Tegucigalpa,86541.0,3,3.0,120.0,0.0
Las Casitas,78299.0,3,2.0,112.0,0.0
Residencial San Ignacio,226655.0,3,2.0,240.0,0.0
Residencial Las Casitas,72118.0,3,2.0,80.0,0.0
Colonia Los Angeles,88602.0,3,3.0,192.0,0.0
El Sauce,218413.0,3,4.0,185.0,0.0
Colonia Río Grande Sur,109207.0,3,3.0,240.0,0.0
Residencial Prados Universitarios,98904.0,3,3.0,118.0,0.0
El Sauce,154538.0,3,3.0,165.0,0.0
Colonia El Hatillo,360588.0,4,4.0,367.0,0.0
Colonia San Miguel Arcangel,61815.0,3,2.0,109.0,0.0
Colonia Río Grande Norte,71087.0,4,3.0,110.0,0.0
Residencial Agua Dulce,199869.0,4,4.0,404.0,0.0
Colonia Miraflores,115388.0,5,4.0,256.0,0.0
Barrio Buenos Aires,103025.0,6,4.0,250.0,0.0
Barrio Las Delicias,94783.0,4,3.0,359.0,0.0
Roble Alto,103025.0,4,2.0,229.0,0.0
Colonia Altos de Jardines de Loarque,144235.0,4,3.0,419.0,0.0
Colonia Residencial Altos del Trapiche,118479.0,4,4.0,160.0,0.0
Colonia Las Hadas,122806.0,4,3.0,200.0,0.0
Colonia Tres Caminos,61815004.0,7,2.0,750.0,5.0
Colonia Lomas del Guijarro,376041.0,3,4.0,450.0,0.0
Colonia Lomas del Guijarro,463613.0,4,3.0,400.0,0.0
Residencial Las Hadas,189566.0,4,3.0,317.0,3.0
Residencial Las Hadas,293621.0,4,4.0,280.0,0.0
Colonia Florencia Norte,144235.0,3,3.0,150.0,0.0
Tegucigalpa,94783.0,6,4.0,250.0,1.0
Residencial Palma Real,226655.0,5,4.0,543.0,0.0
Río Grande Loarque,152477.0,4,4.0,205.0,0.0
